# *CALIBRATION************
# Voff:  -0.000557, -0.000502, 0.000355
# Oe*Vref/V:  18766.300781, 19118.269531, 18920.400390
# mV/Vref/Oe:  0.053287, 0.052306, 0.052853
# Hrel:  0.000000, 0.000000, 0.000000
# ADC Vref:  4.000000
# ADC Bits:  16
# ADC samples:  10
# ADC Speed:  4
# Linearization
# A0:  0.000000, 0.000000, 0.000000
# A1:  1.000000, 1.000000, 1.000000
# A2:  0.000000, 0.000000, 0.000000
# A3:  0.222500, 0.222500, 0.222500
# A4:  0.000000, 0.000000, 0.000000
# A5:  3.403000, 3.403000, 3.403000
# Orthogonalization
# 1.000000, 0.000000, 0.000000
# 0.000000, 1.000000, 0.000000
# 0.000000, 0.000000, 1.000000
# EEPROM Cal Valid, Valid, Valid
# EEPROM Lin Valid, Valid, Valid
# EEPROM Ortho Not Valid
# Sensor ID:   USB25103-1715507101             
# Software Version:  MDTUSBMAG3D.V9.20220510
# ************************
# 
# SENSOR_NB_SAMPLE: 10 
# SENSOR_GAIN: 1 
# SENSOR_READ_DELAY: 0.7 
# SENSOR_Oe_mT: 0.1 
# working dist: 15 mm
# Rotation step angle: 2.3999999999999995°
# sensor pos #1: 5 mm
# sensor pos #2: 50 mm
# sensor pos #3: 85 mm
#
# angle[°]; X1_magn [mT]; Y1_magn [mT]; Z1_magn [mT]; X2_magn [mT]; Y2_magn [mT]; Z2_magn [mT]; X3_magn [mT]; Y3_magn [mT]; Z3_magn [mT]
290.4;   22.376000;    0.977660;  -47.355000;   13.966000;   -1.865100;  -50.636000;    5.717800;   -1.992800;  -42.301000
292.8;   13.700000;   -3.966600;  -41.662000;   22.617000;   -1.636200;  -49.329000;   30.816000;    2.011200;  -45.573000
295.2;   38.709000;    3.053000;  -43.014000;   31.084000;   -1.357200;  -47.144000;   21.958000;   -5.919900;  -40.281000
297.6;   29.445000;   -7.716000;  -38.319000;   38.577000;   -1.058500;  -44.306000;   45.753000;    4.009700;  -39.932000
300.0;   52.727000;    4.954800;  -36.184000;   45.669000;   -0.739250;  -40.785000;   36.403000;   -9.386600;  -35.781000
302.4;   42.869000;  -10.935000;  -32.682000;   52.545000;   -0.381900;  -36.574000;   59.247000;    5.812100;  -31.743000
304.8;   64.466000;    6.602300;  -26.717000;   58.652000;   -0.045466;  -31.773000;   48.928000;  -12.214000;  -29.194000
307.2;   54.590000;  -13.379000;  -24.981000;   63.738000;    0.338770;  -26.123000;   68.203000;    7.312500;  -21.042000
309.6;   70.251000;    7.890100;  -15.329000;   67.082000;    0.716280;  -20.231000;   58.902000;  -14.313000;  -20.332000
312.0;   61.839000;  -15.050000;  -15.243000;   69.005000;    1.068800;  -14.040000;   71.239000;    8.309900;   -9.462000
314.4;   71.440000;    8.628700;   -3.616500;   69.904000;    1.419000;   -7.830400;   63.682000;  -15.326000;  -10.156000
316.8;   64.493000;  -15.491000;   -5.122800;   70.084000;    1.733100;   -1.785100;   71.082000;    8.785900;    2.109800
319.2;   69.997000;    8.854300;    8.094600;   69.699000;    2.047800;    4.486700;   64.638000;  -15.423000;    0.066665
321.6;   64.168000;  -15.142000;    5.092000;   68.578000;    2.344300;   10.630000;   67.950000;    8.801300;   13.990000
324.0;   64.356000;    8.628400;   19.962000;   66.323000;    2.574700;   16.924000;   62.977000;  -14.583000;   10.263000
326.4;   60.650000;  -13.818000;   15.439000;   62.543000;    2.837200;   23.117000;   59.129000;    8.324000;   25.605000
328.8;   52.780000;    7.878900;   30.584000;   57.346000;    3.074300;   28.777000;   57.090000;  -12.836000;   20.324000
331.2;   52.023000;  -11.574000;   24.985000;   50.840000;    3.244600;   33.978000;   45.720000;    7.296800;   35.050000
333.6;   38.708000;    6.609700;   38.797000;   44.147000;    3.329700;   38.312000;   46.260000;  -10.143000;   28.997000
336.0;   39.873000;   -8.580800;   32.486000;   37.086000;    3.396600;   42.136000;   30.992000;    5.838300;   42.092000
338.4;   22.450000;    4.984300;   44.721000;   29.419000;    3.449600;   45.344000;   33.414000;   -6.749600;   35.525000
340.8;   26.401000;   -4.893400;   37.967000;   21.227000;    3.426400;   47.784000;   13.623000;    4.074700;   46.561000
343.2;    4.575000;    3.088100;   47.672000;   12.270000;    3.363000;   49.500000;   18.469000;   -2.896800;   39.901000
345.6;   10.483000;   -0.909520;   41.110000;    3.739300;    3.258400;   50.355000;   -4.001100;    2.076600;   48.065000
348.0;  -12.903000;    1.029600;   47.792000;   -4.820700;    3.119500;   50.562000;    2.408000;    1.097900;   41.682000
350.4;   -5.617500;    3.150900;   41.631000;  -13.618000;    2.927600;   50.014000;  -22.012000;   -0.021195;   46.766000
352.8;  -30.486000;   -1.065200;   44.974000;  -22.296000;    2.730000;   48.678000;  -13.600000;    5.090700;   41.004000
355.2;  -21.817000;    7.019000;   39.667000;  -30.761000;    2.449600;   46.487000;  -38.416000;   -2.099600;   42.398000
357.6;  -45.483000;   -3.077500;   39.314000;  -38.212000;    2.167700;   43.634000;  -29.319000;    8.787800;   37.711000
360.0;  -36.292000;   10.544000;   35.001000;  -45.318000;    1.846200;   40.091000;  -52.507000;   -4.008400;   35.552000
